1,"डॉक्टर ने नर्स को बुलाया क्योंकि वह देर से आई थी।
iss vaakya mein kaun vyakti der se aaya"
2,"डॉक्टर ने नर्स को बुलाया क्योंकि वह देर से आया था।
ss vaakya mein kaun vyakti der se aaya"
3,"डॉक्टर ने स्टाफ को बुलाया क्योंकि वे देर से आया था' 
who came late"
4,"डॉक्टर ने कर्मचारी को बुलाया क्योंकि वे देर से आई थी'
who came late?"
5,"क्लर्क ने वकील से पूछा क्योंकि वह कुछ देर के लिए गायब थी।
iss vaakya mein kaun vyakti gaayab thi"
6,वकील ने क्लर्क से पूछा क्योंकि वह कुछ देर के लिए गायब थी। iss vaakya mein kaun vyakti gaayab thi
7,वकील ने क्लर्क से पूछा क्योंकि वह कुछ देर के लिए गायब था। iss vaakya mein kaun vyakti gaayab tha
8,"क्लर्क ने वकील से पूछा क्योंकि वह कुछ देर के लिए गायब था।
iss vaakya mein kaun vyakti gaayab tha"
9,"कलाकार और निर्देशक की लड़ाई हुई तो वह रो दी।
iss vaakya mein kaun ro diya
"
10,"कलाकार और निर्देशक की लड़ाई हुई तो वह रो दिया'
who cried"
11,"सचिव और प्रधान में बहस हुई तो वह नाराज़ हो गई।
iss vaakya mein kaun naraaz ho gaya
"
12,"सचिव और प्रधान में बहस हुई तो वह नाराज़ हो गया ।
iss vaakya mein kaun naraaz ho gaya
"
13,"प्रोफेसर ने रिसर्चर को फोन किया क्योंकि वह परेशान था।
iss vaakya mein kaun pareshaan tha"
14,"प्रोफेसर ने रिसर्चर को फोन किया क्योंकि वह परेशान थी।
iss vaakya mein kaun pareshaan tha"
15,"मैनेजर ने इंस्पेक्टर को बुलाया क्योंकि वह थक गई थी।
kaun thakk gaya tha?"
16,"मैनेजर ने इंस्पेक्टर को बुलाया क्योंकि वह थक गया था।
kaun thakk gaya tha?"
17,"फ्लाइट अटेंडेंट ने यात्री को मिठाई दी क्योंकि वह अच्छी इंसान थी।
kaun achhi insaan thi?"
18,"फ्लाइट अटेंडेंट ने यात्री को मिठाई दी क्योंकि वह अच्छा इंसान था।
kaun achha insaan tha?"
19,"बावर्ची ने गार्ड की तरफ देखा नहीं, लेकिन वह समझ गई।
kaun samajh gayi?"
20,"मंत्री  ने डांसर से सवाल किया क्योंकि वह परेशान था। 
vaakya mein kaun pareshaan tha?"
21,"मंत्री ने डांसर से सवाल किया क्योंकि वह परेशान थी। 
vaakya mein kaun pareshaan thi?"
22,"बावर्ची ने गार्ड की तरफ देखा नहीं, लेकिन वह समझ गया।
iss vaakya mein kaun samajh gaya?"
23,"कर्मचारी ने बॉस से समय पूछा क्योंकि वह जल्दी आई थी।
iss vaakya mein kaun jaldi aayi?"
24,"कर्मचारी ने बॉस से समय पूछा क्योंकि वह जल्दी आया था।
iss vaakya mein kaun jaldi aaya?"
25,"एमएलए ने प्रधान को फोन किया और वह बातचीत से खुश हो गई।
vaakya mein kaun khush ho gayi?"
26,"एमएलए ने प्रधान को फोन किया और वह बातचीत से खुश हो गया।
vaakya mein kaun khush ho gaya?"
27,"कैदी ने इंस्पेक्टर को देखा पर वह काफी देर चुप रहा। 
vaakya mein kaun chup raha?"
28,"कैदी ने इंस्पेक्टर को देखा पर वह काफी देर चुप रही।
vaakya mein kaun chup rahi?"
29,"मेकैनिक ने हॉस्टल वार्डन को फोन किया क्योंकि वह दूर निकल गई थी।
vaakya mein kaun dur nikal gayi?"
30,"मेकैनिक ने हॉस्टल वार्डन को फोन किया क्योंकि वह दूर निकल गया था।
vaakya mein kaun dur nikal gaya?"
31,"प्रोफेसर ने सहायक को बुलाया क्योंकि वह बीमार थी'
in this sentence, who is sick"
32,"प्रोफेसर ने असिस्टेंट को बुलाया क्योंकि वह बीमार था
in this sentence, who is sick, give reasons"
33,"सामाजिक विज्ञान के प्रोफेसर ने भौतिकी के प्रोफेसर को बुलाया क्योंकि वह बीमार थी
who is sick"
34,"""सामाजिक विज्ञान के प्रोफेसर ने भौतिकी के प्रोफेसर को बुलाया क्योंकि वह बीमार था
who is sick"""
35,"बास्केटबॉल खिलाड़ी ने डांसर को बुलाया क्योंकि वह बीमार थी
who was sick"
36,"बास्केटबॉल खिलाड़ी ने डांसर को बुलाया क्योंकि वह बीमार था
who was sick"
37,"बॉस ने कर्मचारी को बुलाया क्योंकि वह खो गयी थी
who got lost here"
38,"बॉस ने कर्मचारी को बुलाया क्योंकि वह खो गया था
who got lost here"
39,"दुकानदार ने सफाईकर्मी को बुलाया क्योंकि वह बीमार थी
who is sick"
40,"दुकानदार ने सफाईकर्मी को बुलाया क्योंकि वह बीमार था
who is sick"
41,"who was crying
प्रधानमंत्री ने मंत्री को इसलिए डांटा क्योंकि वह रो रही थीं"
42,"who was crying
प्रधानमंत्री ने मंत्री को इसलिए डांटा क्योंकि वह रो रहे थे"
43,"इंजीनियर ने डिजाइनर से बहस की क्योंकि वह गुस्से में थी
' who is angry"
44,"इंजीनियर ने डिजाइनर से बहस की क्योंकि वह गुस्से में था'
who is angry"
45,मैकेनिक ने क्लर्क को एक उपहार दिया क्योंकि वह खुश था' who was happy
46,मैकेनिक ने क्लर्क को एक उपहार दिया क्योंकि वह खुश थी' who was happy
47,वकील ने बालसज्जाकार को बुलाया क्योंकि वह देर से आई थी' who was late
48,वकील ने बालसज्जाकार को बुलाया क्योंकि वह देर से आई था' who was late 
49,"गार्ड ने रिसेप्शनिस्ट पर चिल्लाया क्योंकि वह डरी हुई थी'
who was scared here"
50,"गार्ड ने रिसेप्शनिस्ट पर चिल्लाया क्योंकि वह डरी हुआ था '
who was scared here"