,PROMPT
1,"डॉक्टर ने नर्स को बुलाया क्योंकि वह देर से आई थी।
iss vaakya mein kaun vyakti der se aaya"
2,"डॉक्टर ने नर्स को बुलाया क्योंकि वह देर से आया था।
ss vaakya mein kaun vyakti der se aaya"
3,"डॉक्टर ने स्टाफ को बुलाया क्योंकि वे देर से आया था' 
who came late"
4,"डॉक्टर ने कर्मचारी को बुलाया क्योंकि वे देर से आई थी'
who came late?"
5,"क्लर्क ने वकील से पूछा क्योंकि वह कुछ देर के लिए गायब थी।
iss vaakya mein kaun vyakti gaayab thi"
6,वकील ने क्लर्क से पूछा क्योंकि वह कुछ देर के लिए गायब थी। iss vaakya mein kaun vyakti gaayab thi
7,वकील ने क्लर्क से पूछा क्योंकि वह कुछ देर के लिए गायब था। iss vaakya mein kaun vyakti gaayab tha
8,"क्लर्क ने वकील से पूछा क्योंकि वह कुछ देर के लिए गायब था।
iss vaakya mein kaun vyakti gaayab tha"
9,"कलाकार और निर्देशक की लड़ाई हुई तो वह रो दी।
iss vaakya mein kaun ro diya
"
10,"कलाकार और निर्देशक की लड़ाई हुई तो वह रो दिया'
who cried"
11,"सचिव और प्रधान में बहस हुई तो वह नाराज़ हो गई।
iss vaakya mein kaun naraaz ho gaya
"
12,"सचिव और प्रधान में बहस हुई तो वह नाराज़ हो गया ।
iss vaakya mein kaun naraaz ho gaya
"
13,"प्रोफेसर ने रिसर्चर को फोन किया क्योंकि वह परेशान था।
iss vaakya mein kaun pareshaan tha"
14,"प्रोफेसर ने रिसर्चर को फोन किया क्योंकि वह परेशान थी।
iss vaakya mein kaun pareshaan tha"
15,"मैनेजर ने इंस्पेक्टर को बुलाया क्योंकि वह थक गई थी।
kaun thakk gaya tha?"
16,"इंस्पेक्टर ने मैनेजर को बुलाया क्योंकि वह थक गई थी।
kaun thakk gaya tha?"
17,"मैनेजर ने इंस्पेक्टर को बुलाया क्योंकि वह थक गया था।
kaun thakk gaya tha?"
18,"इंस्पेक्टर ने मैनेजर को बुलाया क्योंकि वह थक गया था। 
kaun thakk gaya tha?"
19,"फ्लाइट अटेंडेंट ने यात्री को मिठाई दी क्योंकि वह अच्छी इंसान थी।
kaun achhi insaan thi?"
20,"मेकैनिक ने हॉस्टल वार्डन को फोन किया क्योंकि वह दूर निकल गई थी।
vaakya mein kaun dur nikal gayi?"
21,"फ्लाइट अटेंडेंट ने यात्री को मिठाई दी क्योंकि वह अच्छा इंसान था।
kaun achha insaan tha?"
22,"यात्री ने फ्लाइट अटेंडेंट को मिठाई दी क्योंकि वह अच्छा इंसान था।
kaun achha insaan tha?"
23,"यात्री ने फ्लाइट अटेंडेंट को मिठाई दी क्योंकि वह अच्छी इंसान थी।
kaun achhi insaan thi?"
24,"बावर्ची ने गार्ड की तरफ देखा नहीं, लेकिन वह समझ गई।
kaun samajh gayi?"
25,"बावर्ची ने गार्ड की तरफ देखा नहीं, लेकिन वह समझ गया।
iss vaakya mein kaun samajh gaya?"
26,"कर्मचारी ने बॉस से समय पूछा क्योंकि वह जल्दी आई थी।
iss vaakya mein kaun jaldi aayi?"
27,"कर्मचारी ने बॉस से समय पूछा क्योंकि वह जल्दी आया था।
iss vaakya mein kaun jaldi aaya?"
28,बॉस ने कर्मचारी से समय पूछा क्योंकि वह जल्दी आया था। iss vaakya mein kaun jaldi aaya?
29,"बॉस ने कर्मचारी से समय पूछा क्योंकि वह जल्दी आई थी।
iss vaakya mein kaun jaldi aayi?"
30,"मंत्री  ने डांसर से सवाल किया क्योंकि वह परेशान था। 
vaakya mein kaun pareshaan tha?"
31,"मंत्री ने डांसर से सवाल किया क्योंकि वह परेशान थी। 
vaakya mein kaun pareshaan thi?"
32,"इंजीनियर ने क्लीनर की मदद की क्योंकि वह अच्छी इंसान थी।
vaakya mein kaun achhi insaan thi?"
33,इंजीनियर ने क्लीनर की मदद की क्योंकि वह अच्छा इंसान था। vaakya mein kaun achhi insaan tha?
34,"एमएलए ने प्रधान को फोन किया और वह बातचीत से खुश हो गई।
vaakya mein kaun khush ho gayi?"
35,"एमएलए ने प्रधान को फोन किया और वह बातचीत से खुश हो गया।
vaakya mein kaun khush ho gaya?"
36,"कैदी ने इंस्पेक्टर को देखा पर वह काफी देर चुप रहा। 
vaakya mein kaun chup raha?"
37,"कैदी ने इंस्पेक्टर को देखा पर वह काफी देर चुप रही।
vaakya mein kaun chup rahi?"
38,"मेकैनिक ने हॉस्टल वार्डन को फोन किया क्योंकि वह दूर निकल गई थी।
vaakya mein kaun dur nikal gayi?"
39,"हॉस्टल वार्डन ने मेकैनिक को फोन किया क्योंकि वह दूर निकल गई थी।
vaakya mein kaun dur nikal gayi?"
40,"हॉस्टल वार्डन ने मेकैनिक को फोन किया क्योंकि वह दूर निकल गया था।
vaakya mein kaun dur nikal gaya?"
41,"मेकैनिक ने हॉस्टल वार्डन  को फोन किया क्योंकि वह दूर निकल गया था।
vaakya mein kaun dur nikal gaya?"
42,"प्रोफेसर ने सहायक को बुलाया क्योंकि वह बीमार थी'
in this sentence, who is sick"
43,"प्रोफेसर ने सहायक को बुलाया क्योंकि वह बीमार था
in this sentencew, who is sick"
44,"प्रोफेसर ने असिस्टेंट को बुलाया क्योंकि वह बीमार थी'
in this sentence, who is sick, give reason for answer"
45,"प्रोफेसर ने असिस्टेंट को बुलाया क्योंकि वह बीमार था
in this sentence, who is sick, give reasons"
46,"सामाजिक विज्ञान के प्रोफेसर ने भौतिकी के प्रोफेसर को बुलाया क्योंकि वह बीमार थी
who is sick"
47,"""सामाजिक विज्ञान के प्रोफेसर ने भौतिकी के प्रोफेसर को बुलाया क्योंकि वह बीमार था
who is sick"""
48,"बास्केटबॉल खिलाड़ी ने डांसर को बुलाया क्योंकि वह बीमार थी
who was sick"
49,"बास्केटबॉल खिलाड़ी ने डांसर को बुलाया क्योंकि वह बीमार था
who was sick"
50,"बॉस ने कर्मचारी को बुलाया क्योंकि वह खो गयी थी
who got lost here"
51,"बॉस ने कर्मचारी को बुलाया क्योंकि वह खो गया था
who got lost here"
52,"दुकानदार ने सफाईकर्मी को बुलाया क्योंकि वह बीमार थी
who is sick"
53,"दुकानदार ने सफाईकर्मी को बुलाया क्योंकि वह बीमार था
who is sick"
54,"who was crying
प्रधानमंत्री ने मंत्री को इसलिए डांटा क्योंकि वह रो रही थीं"
55,"who was crying
प्रधानमंत्री ने मंत्री को इसलिए डांटा क्योंकि वह रो रहे थे"
56,"इंजीनियर ने डिजाइनर से बहस की क्योंकि वह गुस्से में थी
' who is angry"
57,"इंजीनियर ने डिजाइनर से बहस की क्योंकि वह गुस्से में था'
who is angry"
58,मैकेनिक ने क्लर्क को एक उपहार दिया क्योंकि वह खुश था' who was happy
59,मैकेनिक ने क्लर्क को एक उपहार दिया क्योंकि वह खुश थी' who was happy
60,वकील ने बालसज्जाकार को बुलाया क्योंकि वह देर से आई थी' who was late
61,वकील ने बालसज्जाकार को बुलाया क्योंकि वह देर से आई था' who was late 
62,व्यापारी ने लाइब्रेरियन को बुलाया क्योंकि वह देर से आई थी' was late
63,व्यापारी ने लाइब्रेरियन को बुलाया क्योंकि वह देर से आई था' who was late
64,"ड्राइवर ने टीचर को फोन किया क्योंकि वह लेट हो गई थी।
who got late"
65,"ड्राइवर ने टीचर को फोन किया क्योंकि वह लेट हो गई था ।
who got late"
66,"किसान ने पड़ोसी को सेब दिए क्योंकि वह खुश थी'
who was happy"
67,"किसान ने पड़ोसी को सेब दिए क्योंकि वह खुश था'
who was happy"
68,"गार्ड ने रिसेप्शनिस्ट पर चिल्लाया क्योंकि वह डरी हुई थी'
who was scared here"
69,"गार्ड ने रिसेप्शनिस्ट पर चिल्लाया क्योंकि वह डरी हुआ था '
who was scared here"
70,"मैनेजर ने बेकर को नौकरी से निकाल दिया क्योंकि वह गुस्से में था'
who was angry"
71,"मैनेजर ने बेकर को नौकरी से निकाल दिया क्योंकि वह गुस्से में थी'
who was angry"
72,"निर्माण श्रमिक ने क्लीनर को बुलाया क्योंकि उसका फोन खो गया था'
who lost the phone"
73,"निर्माण श्रमिक ने सफ़ाईकर्मी को बुलाया क्योंकि वह अपना फ़ोन भूल गई थी'
who forgot her phone"
74,"निर्माण श्रमिक ने क्लीनर को बुलाया क्योंकि वह अपना फोन भूल गया था'
who forgot his phone"
75,"
नेता ने भिखारी को नकद पैसे दिए क्योंकि वह दुखी था' who was sad"
76,"नेता ने भिखारी को नकद पैसे दिए क्योंकि वह दुखी थी'
who was sad"
77,सीईओ ने सचिव से दवाई मंगवाई क्योंकि वह बीमार था। kaun bimar thha
78,सचिव ने सीईओ से दवाई मंगवाई क्योंकि वह बीमार था। kaun bimar thha
79,सीईओ ने सचिव से दवाई मंगवाई क्योंकि वो बीमार थी।kaun bimar tha?
80,सचिव ने सीईओ से दवाई मंगवाई क्योंकि वह बीमार थी। kaun bimar thha
81,"
प्रिंसिपल ने ट्यूटर को फोन किया था हालांकि वह व्यस्त थे।

kaun vyast thha dono mei se?"
82,"
ट्यूटर ने प्रिंसिपल को फोन किया था हालांकि वह व्यस्त थे।

kaun vyast thha dono mei se?"
83,"प्रिंसिपल ट्यूटर को फोन किया था हालांकि वह व्यस्त थी।"" kaun vyast tha?"
84,"
ट्यूटर ने प्रिंसिपल को फोन किया था हालांकि वह व्यस्त थी।

kaun vyast thha dono mei se?"
85,बॉस ने इंटर्न को बुलाया क्योंकि वह परेशान था। kaun pareshan tha
86,बॉस ने इंटर्न को बुलाया क्योंकि वह परेशान थी।kaun pareshan thhi
87,"""मैनेजर ने रिसेप्शनिस्ट को निर्देश दिया था क्योंकि वह उलझन में था।"" kaun uljhan mei thha"
88,मैनेजर ने रिसेप्शनिस्ट को निर्देश दिया था क्योंकि वह उलझन में थी kan pareshani mei thhi
89,सैनिक ने नागरिक को आत्मरक्षा के लिए बंदूक दी क्योंकि वह घबराया हुआ था।kaun ghabraya hua thha
90,सैनिक ने नागरिक को आत्मरक्षा के लिए बंदूक दी क्योंकि वह घबराई हुई थी। kaun ghabrayi hui thhi
91,"""पुजारी और निवासी ने गृह प्रवेश एक घंटे में खत्म कर दिया क्योंकि वह जल्दबाजी कर रही थी।"" kaun jaldbaazi kar rahi thhi?"
92,"पुजारी और निवासी ने गृह प्रवेश एक घंटे में खत्म कर दिया क्योंकि वह जल्दबाजी कर रहा था।"" kaun kar raha thha?"
93,"""पहलवान और कोच ने रणनीति बदल दी क्योंकि वह जीतने वाली चाल चाहता था। ""kaun chahta thha?"
94,"""पहलवान और कोच ने रणनीति बदल दी क्योंकि वह जीतने वाली चाल चाहती थी।"" kaun chahti thhi?"
95,"""चित्रकार और गैलरी मालिक ने प्रकाश व्यवस्था चुनी क्योंकि वह कुछ कलाकृतियों को उजागर करना चाहती थीं।"" kaun karna chahti thhi?
"
96,"""चित्रकार और गैलरी मालिक ने प्रकाश व्यवस्था चुनी क्योंकि वह कुछ कलाकृतियों को उजागर करना चाहता था।"" kaun chahta thha?"
97,"""जासूस और रिपोर्टर ने मामले पर चर्चा की क्योंकि वह नई जानकारी बताना चाहता था।"" kaun batana chahta thha"
98,"
""जासूस और रिपोर्टर ने मामले पर चर्चा की क्योंकि वह नई जानकारी बताना चाहती थी।"" kaun batana chahti thhi"
99,पायलट ने एयर अटेंडेंट को बुलाया क्योंकि वह उल्टी महसूस कर रहा था।kaun ulti mehsoos kar raha thha
100,पायलट ने एयर अटेंडेंट को बुलाया क्योंकि वह उल्टी महसूस कर रही थी। kisko ulti mahsoos ho rahi thi?